Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,2,00,GENERAL INDEX (CPI),10000.000000000004,2009-02-01,79.04484819080172,Rural
0,2,01,Food and non-alcoholic beverages,4804.157852154903,2009-02-01,74.37000312104392,Rural
0,2,01.1.1,Bread and cereals,757.2127634774866,2009-02-01,94.31816387158456,Rural
0,2,01.1.2,Meat,155.5150876510229,2009-02-01,85.25718777317542,Rural
0,2,01.1.4,"Milk, cheese and eggs",98.22404172071562,2009-02-01,63.36794982687427,Rural
0,2,01.1.7,Vegetables,2582.4670064826437,2009-02-01,65.2867687904397,Rural
0,2,01.2,Non-alcoholic beverages,101.1122031549787,2009-02-01,95.57267430312423,Rural
0,2,02,Alcoholic beverages and tobacco,831.9082877120769,2009-02-01,91.11773756507515,Rural
0,2,03,Clothing and footwear,531.1697196186933,2009-02-01,83.02134383480364,Rural
0,2,04,"Housing, water, electricity, gas and other fuels",1636.386966788062,2009-02-01,90.81680760182236,Rural
0,2,05,"Furnishing, household equipment and routine household maintenance ",323.08414471673444,2009-02-01,93.88472722498045,Rural
0,2,06,Health,112.24913543867018,2009-02-01,84.07763645772427,Rural
0,2,07,Transport,407.46151345811677,2009-02-01,91.43193373381719,Rural
0,2,08,Communication,179.2744073450492,2009-02-01,113.81960466422316,Rural
0,2,09,Recreation and culture,149.35391045040737,2009-02-01,93.80936738639957,Rural
0,2,10,Education,143.90779737150518,2009-02-01,75.04116358028396,Rural
0,2,11,Restaurants and hotels,460.0480360206458,2009-02-01,81.82415831831163,Rural
0,2,12,Miscellaneous goods and services,420.99822892513373,2009-02-01,87.3589652351791,Rural
0,2,00,GENERAL INDEX (CPI),10000.000000000004,2009-03-01,81.77128647885706,Rural
0,2,01,Food and non-alcoholic beverages,4804.157852154903,2009-03-01,77.85827308269398,Rural
0,2,01.1.1,Bread and cereals,757.2127634774866,2009-03-01,92.04764128055776,Rural
0,2,01.1.2,Meat,155.5150876510229,2009-03-01,85.11460366924675,Rural
0,2,01.1.4,"Milk, cheese and eggs",98.22404172071562,2009-03-01,69.6039173113378,Rural
0,2,01.1.7,Vegetables,2582.4670064826437,2009-03-01,72.56663379120823,Rural
0,2,01.2,Non-alcoholic beverages,101.1122031549787,2009-03-01,95.63204756368769,Rural
0,2,02,Alcoholic beverages and tobacco,831.9082877120769,2009-03-01,91.95323968157359,Rural
0,2,03,Clothing and footwear,531.1697196186933,2009-03-01,82.533158970714,Rural
0,2,04,"Housing, water, electricity, gas and other fuels",1636.386966788062,2009-03-01,93.89627443361336,Rural
0,2,05,"Furnishing, household equipment and routine household maintenance ",323.08414471673444,2009-03-01,93.81197053636738,Rural
0,2,06,Health,112.24913543867018,2009-03-01,84.77998717963759,Rural
0,2,07,Transport,407.46151345811677,2009-03-01,90.13356772147547,Rural
0,2,08,Communication,179.2744073450492,2009-03-01,113.34490528255752,Rural
0,2,09,Recreation and culture,149.35391045040737,2009-03-01,94.01604726665572,Rural
0,2,10,Education,143.90779737150518,2009-03-01,75.06057156821251,Rural
0,2,11,Restaurants and hotels,460.0480360206458,2009-03-01,82.31674080447063,Rural
